id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
152,A great deal,Only some,Hardly any,Only some,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Not applicable,Separated,High school,Average,Strong democrat,Too little,Not applicable,Clinton
153,A great deal,Only some,Only some,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Never married,High school,Average,Independent,Not applicable,About right,Clinton
154,Only some,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Favor,Don't know,40,Private,Separated,Bachelor,Far below average,Independent,Not applicable,About right,Not applicable
155,Only some,Only some,Hardly any,A great deal,No,Not applicable,Agree,Strongly disagree,Not applicable,Favor,32,Private,Never married,Lt high school,Far above average,Not str republican,Not applicable,Too much,Not applicable
156,Only some,Only some,Only some,Only some,Yes,No,Not applicable,Strongly agree,Favor,Oppose,40,Private,Married,Lt high school,Average,Not str democrat,Not applicable,About right,Not applicable
157,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,52,Private,Separated,High school,Average,Not str republican,Not applicable,Too little,Clinton
158,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Oppose,30,Government,Never married,High school,Far below average,Other party,About right,Not applicable,Not applicable
159,Only some,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Disagree,Not applicable,Oppose,40,Private,Married,Lt high school,Below average,"Ind,near dem",Not applicable,About right,Not applicable
160,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,50,Private,Separated,Lt high school,Far below average,Independent,About right,Not applicable,Not applicable
161,A great deal,A great deal,A great deal,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,Not applicable,Not applicable,Never married,Lt high school,Average,Strong democrat,Not applicable,Don't know,Not applicable
162,A great deal,Only some,Only some,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Not applicable,Never married,High school,Average,Not str democrat,About right,Not applicable,Not applicable
163,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Favor,45,Private,Married,High school,Below average,Not str democrat,Not applicable,Too little,Not applicable
164,Only some,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Agree,Favor,Oppose,Not applicable,Private,Married,High school,Average,Not str democrat,Too much,Not applicable,Not applicable
165,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,Not applicable,Not applicable,Married,Lt high school,Below average,Independent,About right,Not applicable,Not applicable
166,Only some,A great deal,Only some,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,Not applicable,Government,Never married,High school,Average,"Ind,near dem",Don't know,Not applicable,Clinton
167,A great deal,Hardly any,A great deal,A great deal,Yes,No,Not applicable,Agree,Favor,Favor,45,Private,Never married,Lt high school,Below average,Not str democrat,About right,Not applicable,Not applicable
168,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,6,Private,Never married,Bachelor,Average,Independent,Too much,Not applicable,Not applicable
169,Only some,A great deal,Only some,A great deal,Yes,No,Not applicable,Agree,Favor,Favor,53,Private,Never married,Junior college,Average,Not str democrat,Not applicable,Too much,Not applicable
170,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,42,Private,Married,High school,Below average,Strong democrat,Not applicable,Too much,Not applicable
171,Hardly any,Hardly any,Hardly any,Only some,No,No,Not applicable,Neither agree nor disagree,Oppose,Favor,45,Private,Never married,High school,Average,"Ind,near rep",Too little,Not applicable,Not applicable
172,Only some,A great deal,Hardly any,A great deal,No,Not applicable,Agree,Disagree,Not applicable,Oppose,30,Private,Married,High school,Far above average,"Ind,near dem",Not applicable,About right,Not applicable
173,Hardly any,Hardly any,Hardly any,Only some,Yes,No,Not applicable,Agree,Favor,Don't know,40,Private,Divorced,High school,Average,Strong republican,Not applicable,Too little,Trump
174,Only some,A great deal,Hardly any,A great deal,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,Bachelor,Average,Strong democrat,About right,Not applicable,Clinton
175,Only some,Only some,Only some,Only some,No,No,Not applicable,Disagree,Favor,Don't know,60,Private,Married,Graduate,Above average,Strong democrat,Don't know,Not applicable,Clinton
176,A great deal,Only some,Only some,A great deal,No,Not applicable,Agree,Neither agree nor disagree,Not applicable,Don't know,Not applicable,Government,Married,Bachelor,Average,Independent,Not applicable,Too much,Not applicable
177,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,40,Private,Married,Graduate,Above average,Strong democrat,Too little,Not applicable,Clinton
178,Hardly any,Hardly any,Only some,A great deal,No,Yes,Not applicable,Disagree,Oppose,Oppose,60,Private,Separated,High school,Far below average,"Ind,near rep",Not applicable,Too much,Trump
179,Only some,Only some,Only some,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,43,Private,Never married,Bachelor,Above average,Not str democrat,Too little,Not applicable,Clinton
180,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Above average,Independent,Not applicable,Too much,Not applicable
181,A great deal,A great deal,Only some,A great deal,Yes,No,Not applicable,Cant choose,Oppose,Don't know,20,Private,Never married,High school,Don't know,Independent,About right,Not applicable,Not applicable
182,Only some,A great deal,Only some,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Favor,Not applicable,Private,Divorced,High school,Average,"Ind,near dem",Not applicable,Too much,Not applicable
183,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,50,Private,Never married,Graduate,Average,Strong democrat,Too little,Not applicable,Clinton
184,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Don't know,50,Private,Never married,Graduate,Above average,Strong democrat,About right,Not applicable,Clinton
185,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,72,Private,Divorced,Bachelor,Average,"Ind,near dem",Not applicable,Too much,Not applicable
186,Only some,Only some,Hardly any,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,Not applicable,Private,Never married,High school,Above average,Strong democrat,Not applicable,Too much,Clinton
187,Only some,Only some,Hardly any,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Divorced,Lt high school,Far below average,"Ind,near dem",Too much,Not applicable,Not applicable
188,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,60,Private,Married,Bachelor,Average,Not str democrat,Not applicable,Too much,Clinton
189,Only some,Only some,Only some,Only some,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Never married,High school,No answer,No answer,Too little,Not applicable,Not applicable
190,Only some,A great deal,Hardly any,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,60,Private,Never married,High school,Average,"Ind,near rep",Too much,Not applicable,Not applicable
191,A great deal,Only some,Only some,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Favor,Favor,60,Private,Divorced,High school,Average,Strong republican,Too much,Not applicable,Didn't vote for president
192,Only some,A great deal,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Government,Widowed,Graduate,Far below average,Not str republican,Not applicable,Too little,Didn't vote for president
193,A great deal,A great deal,Don't know,No answer,Yes,Not applicable,Agree,Not applicable,Not applicable,Favor,Not applicable,Not applicable,Divorced,Lt high school,Below average,"Ind,near dem",About right,Not applicable,Not applicable
194,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,40,Government,Married,Bachelor,Average,"Ind,near rep",Not applicable,Too little,Other candidate (specify)
195,Only some,Hardly any,Only some,A great deal,No,Not applicable,Strongly disagree,Strongly agree,Not applicable,Favor,Not applicable,Private,Married,Lt high school,Above average,Strong republican,Not applicable,Too little,Not applicable
196,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,45,Private,Never married,Bachelor,Above average,"Ind,near rep",Too much,Not applicable,Trump
197,Hardly any,Hardly any,Only some,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,40,Private,Divorced,Lt high school,Far below average,Strong republican,Too much,Not applicable,Not applicable
198,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Oppose,35,No answer,Married,High school,Average,Not str democrat,Not applicable,About right,Clinton
199,Only some,Only some,Hardly any,A great deal,No,No,Not applicable,Disagree,Favor,Favor,40,Government,Married,Bachelor,Below average,Not str democrat,About right,Not applicable,Clinton
200,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,10,Don't know,Married,High school,Average,Not str republican,Too much,Not applicable,Trump
201,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,60,Private,Never married,Bachelor,Above average,"Ind,near rep",Too much,Not applicable,Not applicable
202,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Far below average,Not str democrat,Not applicable,About right,Clinton
203,Only some,A great deal,Hardly any,Only some,No,No,Not applicable,Agree,Oppose,Favor,Not applicable,Private,Married,Bachelor,Average,Strong democrat,Too little,Not applicable,Clinton
204,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Married,High school,Above average,"Ind,near dem",About right,Not applicable,Not applicable
205,A great deal,Only some,Only some,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Oppose,Favor,Not applicable,Don't know,Married,Graduate,Far below average,Independent,Not applicable,Too much,Not applicable
206,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Widowed,High school,Below average,Other party,Too much,Not applicable,No answer
207,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,48,Private,Married,High school,Average,"Ind,near rep",Not applicable,Too much,Not applicable
208,Hardly any,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Married,High school,Above average,Other party,Not applicable,Too little,Trump
209,Only some,Only some,Hardly any,Only some,Yes,No,Not applicable,Neither agree nor disagree,Favor,Oppose,40,Private,Married,Graduate,Far below average,Not str democrat,Not applicable,Too much,Clinton
210,A great deal,Only some,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,High school,Average,Independent,About right,Not applicable,Clinton
211,Only some,Only some,Hardly any,Hardly any,No,Yes,Not applicable,Strongly disagree,Favor,Don't know,Not applicable,Government,Divorced,High school,Average,Strong democrat,Too little,Not applicable,Clinton
212,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Favor,54,Private,Married,High school,Far below average,Strong republican,Not applicable,About right,Trump
