id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1090,Hardly any,Only some,Only some,A great deal,Yes,Not applicable,Strongly disagree,Disagree,Not applicable,Favor,50,Government,Married,Graduate,Above average,Not str republican,Not applicable,Too much,Not applicable
1091,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,45,Private,Married,Bachelor,Above average,Strong republican,About right,Not applicable,Trump
1092,Only some,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,40,Private,Married,Graduate,Below average,Not str republican,Not applicable,Too much,Not applicable
1093,Only some,Only some,Only some,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,50,Private,Married,Bachelor,Above average,"Ind,near rep",About right,Not applicable,Don't know
1094,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Divorced,Bachelor,Above average,"Ind,near rep",Not applicable,Too little,Clinton
1095,Only some,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Agree,Favor,Favor,40,Private,Married,High school,Average,Strong republican,About right,Not applicable,Trump
1096,Only some,Only some,Hardly any,Only some,No,Yes,Not applicable,Agree,Favor,Oppose,40,Private,Divorced,Bachelor,Above average,"Ind,near dem",Not applicable,Too much,Clinton
1097,Only some,Only some,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,50,Private,Married,High school,Average,Not str democrat,About right,Not applicable,Clinton
1098,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,40,Private,Never married,Bachelor,Above average,Strong democrat,Too little,Not applicable,Clinton
1099,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Oppose,41,Private,Divorced,High school,Average,No answer,Not applicable,About right,Clinton
1100,A great deal,Hardly any,Only some,Only some,Yes,No,Not applicable,Strongly disagree,Oppose,Oppose,Not applicable,Private,Never married,High school,Average,Independent,About right,Not applicable,Not applicable
1101,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Above average,Independent,Too little,Not applicable,Not applicable
1102,A great deal,Hardly any,Only some,Hardly any,Yes,No,Not applicable,Neither agree nor disagree,Favor,Oppose,15,Private,Never married,Lt high school,Below average,"Ind,near dem",Not applicable,Too much,Not applicable
1103,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,1,Private,Never married,High school,Average,Independent,Not applicable,Too little,No answer
1104,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,20,Government,Never married,High school,Average,"Ind,near rep",Too little,Not applicable,Not applicable
1105,Only some,Only some,Only some,A great deal,Yes,No,Not applicable,Agree,Favor,Favor,50,Private,Never married,High school,Below average,"Ind,near rep",Not applicable,About right,Not applicable
1106,A great deal,Only some,Hardly any,Only some,No,Not applicable,Disagree,Agree,Not applicable,Oppose,32,Private,Divorced,High school,Average,Not str democrat,Not applicable,About right,Clinton
1107,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,60,Private,Married,High school,Average,"Ind,near dem",Too much,Not applicable,Clinton
1108,Hardly any,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Disagree,Favor,Favor,40,Private,Married,Junior college,Below average,Not str republican,Not applicable,Too little,Trump
1109,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,Not applicable,Private,Divorced,Bachelor,Above average,Not str democrat,Not applicable,Too much,Clinton
1110,Hardly any,Hardly any,Hardly any,Hardly any,No,No,Not applicable,Disagree,Favor,Favor,40,Private,Married,Bachelor,Below average,"Ind,near dem",Not applicable,Too much,Didn't vote for president
1111,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,50,Private,Married,High school,Average,Not str democrat,Not applicable,Too much,Clinton
1112,Only some,Hardly any,Hardly any,A great deal,Yes,Not applicable,Strongly disagree,Strongly disagree,Not applicable,Favor,Not applicable,Private,Married,Bachelor,Average,Other party,Not applicable,About right,Trump
1113,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Agree,Oppose,Oppose,40,Private,Never married,High school,Above average,Independent,Not applicable,About right,Not applicable
1114,Hardly any,Hardly any,Only some,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Oppose,40,Private,Married,High school,Below average,"Ind,near rep",Too much,Not applicable,Trump
1115,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Don't know,10,Private,Married,High school,Below average,Other party,Not applicable,Too much,Not applicable
